alpha,model,feature,weight
0.01,L1,Nc,-1.5649836203230307
0.1,L1,Nc,0.0
0.5,L1,Nc,0.0
1.0,L1,Nc,0.0
0.0001,L2,Nc,-96.4966600307725
0.001,L2,Nc,-96.6195823865238
0.01,L2,Nc,-97.7261434270867
0.1,L2,Nc,-103.16848466782608
0.5,L2,Nc,-103.93352017939407
1.0,L2,Nc,-98.92156706349819
0.0001,LR,epr,-1.1418259362538745
0.001,LR,epr,-1.1418259362538745
0.01,LR,epr,-1.1418259362538745
0.1,LR,epr,-1.1418259362538745
0.5,LR,epr,-1.1418259362538745
1.0,LR,epr,-1.1418259362538745
0.0001,L1,epr,-50.503324330558826
0.001,L1,epr,-49.43142197756755
0.01,L1,epr,-40.10441402826939
0.1,L1,epr,14.732981901425504
0.5,L1,epr,-0.0
1.0,L1,epr,-0.0
0.0001,L2,epr,-1.4833626400596442
0.001,L2,epr,-1.7542217951414028
0.01,L2,epr,-4.777392455002004
0.1,L2,epr,-23.099846992541227
0.5,L2,epr,-39.29392569386102
1.0,L2,epr,-40.83740957310708
0.0001,LR,Ps30,-202.72656570054082
0.001,LR,Ps30,-202.72656570054082
0.01,LR,Ps30,-202.72656570054082
0.1,LR,Ps30,-202.72656570054082
0.5,LR,Ps30,-202.72656570054082
1.0,LR,Ps30,-202.72656570054082
0.0001,L1,Ps30,-262.88929356380385
0.001,L1,Ps30,-263.37565035464985
0.01,L1,Ps30,-267.62212654522926
0.1,L1,Ps30,-233.13394744341974
0.5,L1,Ps30,-174.2379068456021
1.0,L1,Ps30,-103.31111264551562
0.0001,L2,Ps30,-202.71922807720063
0.001,L2,Ps30,-202.8468238848834
0.01,L2,Ps30,-203.9667188200043
0.1,L2,Ps30,-210.29704520627072
0.5,L2,Ps30,-218.90773462525
1.0,L2,Ps30,-223.75259631634913
0.0001,LR,phi,-357.92020434636953
0.001,LR,phi,-357.92020434636953
0.01,LR,phi,-357.92020434636953
0.1,LR,phi,-357.92020434636953
0.5,LR,phi,-357.92020434636953
1.0,LR,phi,-357.92020434636953
0.0001,L1,phi,11.82699996625549
0.001,L1,phi,11.247766527379536
0.01,L1,phi,5.345182855155207
0.1,L1,phi,-0.0
0.5,L1,phi,0.0
1.0,L1,phi,0.0
0.0001,L2,phi,-357.9224538159145
0.001,L2,phi,-357.9129709913026
0.01,L2,phi,-355.6890802503031
0.1,L2,phi,-328.5608240180434
0.5,L2,phi,-264.36132678347695
1.0,L2,phi,-226.17499793712653
0.0001,LR,NRf,132.05784269749276
0.001,LR,NRf,132.05784269749276
0.01,LR,NRf,132.05784269749276
0.1,LR,NRf,132.05784269749276
0.5,LR,NRf,132.05784269749276
1.0,LR,NRf,132.05784269749276
0.0001,L1,NRf,84.19346993459095
0.001,L1,NRf,83.69670826752994
0.01,L1,NRf,75.13189775368855
0.1,L1,NRf,-0.0
0.5,L1,NRf,0.0
1.0,L1,NRf,0.0
0.0001,L2,NRf,113.93762345238706
0.001,L2,NRf,1.9969210216086615
0.01,L2,NRf,-387.72515281567195
0.1,L2,NRf,-524.5107481715993
0.5,L2,NRf,-272.30576519462034
1.0,L2,NRf,-166.56866997112726
0.0001,LR,NRc,10.484549854681298
0.001,LR,NRc,10.484549854681298
0.01,LR,NRc,10.484549854681298
0.1,LR,NRc,10.484549854681298
0.5,LR,NRc,10.484549854681298
1.0,LR,NRc,10.484549854681298
0.0001,L1,NRc,-23.68467167910603
0.001,L1,NRc,-23.92063779937332
0.01,L1,NRc,-26.333270384213318
0.1,L1,NRc,-24.423052501061022
0.5,L1,NRc,-15.925990536215654
1.0,L1,NRc,-11.4218754008453
0.0001,L2,NRc,10.490594195697014
0.001,L2,NRc,10.475975560044779
0.01,L2,NRc,10.310798863779107
0.1,L2,NRc,8.584906695487751
0.5,L2,NRc,4.532125625824383
1.0,L2,NRc,1.9127794639180153
0.0001,LR,BPR,-54.7496573651516
0.001,LR,BPR,-54.7496573651516
0.01,LR,BPR,-54.7496573651516
0.1,LR,BPR,-54.7496573651516
0.5,LR,BPR,-54.7496573651516
1.0,LR,BPR,-54.7496573651516
0.0001,L1,BPR,-115.74981235383737
0.001,L1,BPR,-115.84685824323284
0.01,L1,BPR,-116.81884171795055
0.1,L1,BPR,-111.44102099887743
0.5,L1,BPR,-160.11069199928275
1.0,L1,BPR,-99.44859096913157
0.0001,L2,BPR,-54.812371352113544
0.001,L2,BPR,-55.05145428763365
0.01,L2,BPR,-57.288338206329236
0.1,L2,BPR,-68.92223085252478
0.5,L2,BPR,-78.35115838024403
1.0,L2,BPR,-80.31447197894315
0.0001,LR,farB,2.6845279420936583
0.001,LR,farB,2.6845279420936583
0.01,LR,farB,2.6845279420936583
0.1,LR,farB,2.6845279420936583
0.5,LR,farB,2.6845279420936583
1.0,LR,farB,2.6845279420936583
0.0001,L1,farB,2.1051342075853494
0.001,L1,farB,2.114036296420023
0.01,L1,farB,2.2636534151199377
0.1,L1,farB,1.6268873756640994
0.5,L1,farB,-3.5605482825891936
1.0,L1,farB,-8.965219448077043
0.0001,L2,farB,2.6782940163372486
0.001,L2,farB,2.669065996290238
0.01,L2,farB,2.5905870375000077
0.1,L2,farB,2.1235181417044506
0.5,L2,farB,1.5555064944768384
1.0,L2,farB,1.3795581694046761
0.0001,LR,htBleed,-116.267270287485
0.001,LR,htBleed,-116.267270287485
0.01,LR,htBleed,-116.267270287485
0.1,LR,htBleed,-116.267270287485
0.5,LR,htBleed,-116.267270287485
1.0,LR,htBleed,-116.267270287485
0.0001,L1,htBleed,-53.77616204504975
0.001,L1,htBleed,-53.24281640702722
0.01,L1,htBleed,-44.88537168036299
0.1,L1,htBleed,-0.0
0.5,L1,htBleed,-0.0
1.0,L1,htBleed,-0.0
0.0001,L2,htBleed,-116.26748939101101
0.001,L2,htBleed,-116.37657213933119
0.01,L2,htBleed,-117.29301892825063
0.1,L2,htBleed,-122.38016935029933
0.5,L2,htBleed,-128.4786994291762
1.0,L2,htBleed,-130.9252232674504
0.0001,LR,Nf_dmd,62393.29102058827
0.001,LR,Nf_dmd,62393.29102058827
0.01,LR,Nf_dmd,62393.29102058827
0.1,LR,Nf_dmd,62393.29102058827
0.5,LR,Nf_dmd,62393.29102058827
1.0,LR,Nf_dmd,62393.29102058827
0.0001,L1,Nf_dmd,192.2565140883214
0.001,L1,Nf_dmd,191.31863019839474
0.01,L1,Nf_dmd,182.5510676773646
0.1,L1,Nf_dmd,134.99937317245426
0.5,L1,Nf_dmd,20.6427750753719
1.0,L1,Nf_dmd,0.0
0.0001,L2,Nf_dmd,979.3584438530113
0.001,L2,Nf_dmd,750.5886472182996
0.01,L2,Nf_dmd,637.2640438602825
0.1,L2,Nf_dmd,541.4378679578589
0.5,L2,Nf_dmd,398.5006637747502
1.0,L2,Nf_dmd,336.7542130008041
0.0001,LR,PCNfR_dmd,-3947829202497.2236
0.001,LR,PCNfR_dmd,-3947829202497.2236
0.01,LR,PCNfR_dmd,-3947829202497.2236
0.1,LR,PCNfR_dmd,-3947829202497.2236
0.5,LR,PCNfR_dmd,-3947829202497.2236
1.0,LR,PCNfR_dmd,-3947829202497.2236
0.0001,L1,PCNfR_dmd,-203.6890811658208
0.001,L1,PCNfR_dmd,-201.25198203677496
0.01,L1,PCNfR_dmd,-179.1867396732692
0.1,L1,PCNfR_dmd,-5.260611531895368
0.5,L1,PCNfR_dmd,0.0
1.0,L1,PCNfR_dmd,0.0
0.0001,L2,PCNfR_dmd,403.34314989707264
0.001,L2,PCNfR_dmd,484.71920355411
0.01,L2,PCNfR_dmd,508.5794451032666
0.1,L2,PCNfR_dmd,404.0710402562867
0.5,L2,PCNfR_dmd,185.28320488264896
1.0,L2,PCNfR_dmd,111.00195657648872
0.0001,LR,W31,138.33480307332744
0.001,LR,W31,138.33480307332744
0.01,LR,W31,138.33480307332744
0.1,LR,W31,138.33480307332744
0.5,LR,W31,138.33480307332744
1.0,LR,W31,138.33480307332744
0.0001,L1,W31,-105.34852727780559
0.001,L1,W31,-104.0408182016823
0.01,L1,W31,-92.33786562522806
0.1,L1,W31,-40.22889064483792
0.5,L1,W31,0.0
1.0,L1,W31,0.0
0.0001,L2,W31,138.41128765899532
0.001,L2,W31,138.47599990163818
0.01,L2,W31,138.72689820754093
0.1,L2,W31,138.27324372592685
0.5,L2,W31,130.72903422884048
1.0,L2,W31,121.05408725957138
0.0001,LR,W32,119.71182182204244
0.001,LR,W32,119.71182182204244
0.01,LR,W32,119.71182182204244
0.1,LR,W32,119.71182182204244
0.5,LR,W32,119.71182182204244
1.0,LR,W32,119.71182182204244
0.0001,L1,W32,-6.750763101271348
0.001,L1,W32,-6.542532595279313
0.01,L1,W32,-6.116199337034931
0.1,L1,W32,-3.9588668665970888
0.5,L1,W32,0.0
1.0,L1,W32,0.0
0.0001,L2,W32,119.69901459538845
0.001,L2,W32,119.78330247351482
0.01,L2,W32,120.1540290289395
0.1,L2,W32,120.3708801917988
0.5,L2,W32,114.38022987974962
1.0,L2,W32,105.90035548972291
0.0001,LR,data_set,5.1082337157333555
0.001,LR,data_set,5.1082337157333555
0.01,LR,data_set,5.1082337157333555
0.1,LR,data_set,5.1082337157333555
0.5,LR,data_set,5.1082337157333555
1.0,LR,data_set,5.1082337157333555
0.0001,L1,data_set,6.513523504405945
0.001,L1,data_set,6.511271267127596
0.01,L1,data_set,6.506862177353205
0.1,L1,data_set,7.491154652530923
0.5,L1,data_set,10.732367594995374
1.0,L1,data_set,14.190714687550269
0.0001,L2,data_set,5.096591166103125
0.001,L2,data_set,5.107667206959671
0.01,L2,data_set,5.204947070936842
0.1,L2,data_set,5.714631205699275
0.5,L2,data_set,6.193831437288269
1.0,L2,data_set,6.326893913939827
0.0001,LR,o_condition,2998.8142653321456
0.001,LR,o_condition,2998.8142653321456
0.01,LR,o_condition,2998.8142653321456
0.1,LR,o_condition,2998.8142653321456
0.5,LR,o_condition,2998.8142653321456
1.0,LR,o_condition,2998.8142653321456
0.0001,L1,o_condition,30.91530771656539
0.001,L1,o_condition,30.44728006629894
0.01,L1,o_condition,24.498806756853345
0.1,L1,o_condition,42.57518614922937
0.5,L1,o_condition,20.363151845297235
1.0,L1,o_condition,0.0
0.0001,L2,o_condition,693.7630918448162
0.001,L2,o_condition,644.0270664651289
0.01,L2,o_condition,469.93763141844636
0.1,L2,o_condition,242.14940986473133
0.5,L2,o_condition,110.14903510052477
1.0,L2,o_condition,78.48537474059566
