Code,Name,Industry and Commercial 2005,Industry and Commercial 2006,Industry and Commercial 2007,Industry and Commercial 2008,Industry and Commercial 2009,Industry and Commercial 2010,Industry and Commercial 2011,Industry and Commercial 2012,Industry and Commercial 2013,Industry and Commercial 2014,Domestic 2005,Domestic 2006,Domestic 2007,Domestic 2008,Domestic 2009,Domestic 2010,Domestic 2011,Domestic 2012,Domestic 2013,Domestic 2014,Transport 2005,Transport 2006,Transport 2007,Transport 2008,Transport 2009,Transport 2010,Transport 2011,Transport 2012,Transport 2013,Transport 2014,N. LULUCF Net Emissions 2005,N. LULUCF Net Emissions 2006,N. LULUCF Net Emissions 2007,N. LULUCF Net Emissions 2008,N. LULUCF Net Emissions 2009,N. LULUCF Net Emissions 2010,N. LULUCF Net Emissions 2011,N. LULUCF Net Emissions 2012,N. LULUCF Net Emissions 2013,N. LULUCF Net Emissions 2014,Grand Total 2005,Grand Total 2006,Grand Total 2007,Grand Total 2008,Grand Total 2009,Grand Total 2010,Grand Total 2011,Grand Total 2012,Grand Total 2013,Grand Total 2014,"Population ('000s, mid-year estimate) 2005","Population ('000s, mid-year estimate) 2006","Population ('000s, mid-year estimate) 2007","Population ('000s, mid-year estimate) 2008","Population ('000s, mid-year estimate) 2009","Population ('000s, mid-year estimate) 2010","Population ('000s, mid-year estimate) 2011","Population ('000s, mid-year estimate) 2012","Population ('000s, mid-year estimate) 2013","Population ('000s, mid-year estimate) 2014",Per Capita Emissions (t) 2005,Per Capita Emissions (t) 2006,Per Capita Emissions (t) 2007,Per Capita Emissions (t) 2008,Per Capita Emissions (t) 2009,Per Capita Emissions (t) 2010,Per Capita Emissions (t) 2011,Per Capita Emissions (t) 2012,Per Capita Emissions (t) 2013,Per Capita Emissions (t) 2014,
E09000011,Greenwich,433.4,443.8,428.2,465.9,420.1,456.4,383.5,382.9,317.4,390.6,496.3,493.1,478.5,482.5,435.7,468.2,408.5,439.9,426.7,356.6,331.7,320.6,316.7,295.5,287.0,281.7,280.1,272.6,264.6,266.4,1.6,1.4,1.3,1.2,1.2,1.1,1.0,0.9,0.8,0.7,"1,262.9","1,259.0","1,224.7","1,245.1","1,144.1","1,207.3","1,073.1","1,096.3","1,009.5","1,014.3",230.5,234.0,236.5,239.7,243.7,249.2,255.5,260.1,264.0,268.7,5.5,5.4,5.2,5.2,4.7,4.8,4.2,4.2,3.8,3.8,
E09000012,Hackney,299.2,314.7,302.6,305.3,271.5,296.3,287.4,358.0,348.1,342.3,429.6,424.6,416.8,422.8,382.7,413.0,364.1,390.1,380.9,318.2,185.9,188.7,184.9,177.1,171.1,171.5,161.2,158.0,151.5,151.7,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,915.3,928.4,904.9,905.7,825.8,881.2,813.1,906.4,880.8,812.6,216.5,220.2,224.5,231.0,236.6,241.7,247.2,252.1,257.4,263.2,4.2,4.2,4.0,3.9,3.5,3.6,3.3,3.6,3.4,3.1,
E09000013,Hammersmith and Fulham,511.4,537.9,527.3,530.9,501.2,532.4,483.8,517.1,482.0,374.0,379.9,374.7,365.1,372.5,337.8,362.5,314.2,339.2,331.6,276.9,198.4,200.8,197.7,180.1,179.2,174.5,164.9,156.6,159.3,158.1,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,"1,090.2","1,113.9","1,090.6","1,083.9","1,018.6","1,069.8",963.3,"1,013.2",973.3,809.3,173.3,174.7,176.5,177.1,180.1,180.8,182.4,179.9,178.7,178.4,6.3,6.4,6.2,6.1,5.7,5.9,5.3,5.6,5.4,4.5,
E09000014,Haringey,295.5,311.1,276.4,317.3,281.7,293.5,262.5,288.4,272.0,226.0,541.4,536.9,520.2,521.1,466.0,501.2,435.4,465.1,455.3,376.3,207.9,205.6,203.2,190.9,181.6,177.9,172.8,170.3,167.9,169.7,0.9,0.9,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,"1,045.7","1,054.5","1,000.6","1,030.1",930.1,973.3,871.3,924.3,895.8,772.5,229.3,233.2,236.8,244.5,249.8,252.7,255.5,258.9,263.4,267.5,4.6,4.5,4.2,4.2,3.7,3.9,3.4,3.6,3.4,2.9,
E09000015,Harrow,299.4,292.3,286.6,289.6,247.1,252.3,218.9,241.8,218.7,205.3,535.2,535.6,522.3,525.8,475.0,514.8,447.2,483.0,478.9,400.1,174.6,169.5,166.9,159.6,152.0,148.1,146.7,147.0,142.6,142.0,1.3,1.2,1.1,1.0,0.9,0.8,0.8,0.6,0.6,0.5,"1,010.5",998.5,976.8,975.9,875.0,916.1,813.5,872.4,840.8,747.9,221.1,223.6,226.4,229.6,233.5,237.5,240.5,242.4,243.4,246.0,4.6,4.5,4.3,4.3,3.7,3.9,3.4,3.6,3.5,3.0,
E09000016,Havering,315.3,319.2,294.1,295.0,260.6,309.3,251.8,274.7,264.3,219.7,578.9,576.9,559.2,561.8,503.4,543.6,470.3,508.3,496.1,413.0,426.3,438.3,425.5,403.9,401.8,388.5,394.4,386.4,388.8,397.9,2.5,2.4,2.2,2.1,2.1,1.9,1.8,1.7,1.6,1.3,"1,323.0","1,336.8","1,280.9","1,262.8","1,167.9","1,243.4","1,118.4","1,171.0","1,150.9","1,031.9",227.0,228.2,229.8,231.8,234.1,236.2,237.9,239.7,242.1,246.0,5.8,5.9,5.6,5.4,5.0,5.3,4.7,4.9,4.8,4.2,
E09000017,Hillingdon,"1,063.5","1,072.6",991.4,"1,120.3",927.7,909.8,733.0,930.3,885.5,671.2,586.7,587.5,571.8,577.7,521.5,561.3,490.5,531.7,523.3,436.5,671.3,656.3,651.0,631.7,619.6,607.5,586.6,596.0,597.2,604.2,3.1,2.8,2.6,2.4,2.3,2.1,1.9,1.7,1.6,1.3,"2,324.5","2,319.3","2,216.7","2,332.0","2,071.0","2,080.8","1,812.1","2,059.8","2,007.6","1,713.3",251.4,254.4,257.0,261.1,265.7,269.5,275.5,281.8,286.8,292.7,9.2,9.1,8.6,8.9,7.8,7.7,6.6,7.3,7.0,5.9,
E09000018,Hounslow,678.4,718.7,699.0,651.7,598.9,678.1,633.3,667.5,627.4,546.2,491.6,492.1,483.6,491.1,442.1,476.4,416.9,450.3,440.5,367.5,430.5,426.6,411.5,393.1,378.0,370.2,361.5,362.1,356.0,362.7,1.8,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.0,0.9,"1,602.2","1,639.0","1,595.7","1,537.3","1,420.4","1,526.0","1,412.9","1,481.0","1,425.0","1,277.2",223.8,228.1,233.5,237.9,243.4,249.2,254.9,259.1,262.4,265.6,7.2,7.2,6.8,6.5,5.8,6.1,5.5,5.7,5.4,4.8,
E09000019,Islington,629.8,676.9,655.0,680.7,605.1,644.8,557.9,632.6,576.5,459.5,404.4,399.5,391.8,398.3,361.0,386.4,335.9,363.0,352.6,293.8,151.4,150.2,148.8,140.9,136.1,132.7,128.5,126.5,122.5,124.2,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.2,"1,186.1","1,227.1","1,196.1","1,220.2","1,102.6","1,164.3","1,022.7","1,122.4","1,051.9",877.8,183.5,185.3,188.6,192.1,196.7,200.1,206.3,211.0,215.7,221.0,6.5,6.6,6.3,6.4,5.6,5.8,5.0,5.3,4.9,4.0,
E09000020,Kensington and Chelsea,781.7,820.9,786.2,798.8,732.6,845.9,794.3,814.1,706.3,685.2,417.2,415.6,406.3,415.7,381.2,409.9,362.4,391.0,379.3,314.7,175.4,174.6,170.0,159.1,157.4,155.5,151.0,146.5,141.9,153.6,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,"1,374.7","1,411.4","1,362.9","1,374.0","1,271.6","1,411.5","1,308.0","1,351.9","1,227.7","1,153.8",168.4,165.2,162.9,162.6,161.9,160.5,158.3,155.9,155.6,156.2,8.2,8.5,8.4,8.5,7.9,8.8,8.3,8.7,7.9,7.4,
